"filename", "language", "JSON", "JavaScript", "vue", "CSS", "Markdown", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\README.md", "Markdown", 0, 0, 0, 0, 43, 0, 0, 0, 22, 65
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\backend\index.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\backend\models\order.model.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 5, 71
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\backend\models\price.model.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\backend\models\schedule.model.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\backend\models\user.model.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\backend\package-lock.json", "JSON", 3340, 0, 0, 0, 0, 0, 0, 0, 1, 3341
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\backend\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\backend\routes\order.route.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\backend\routes\schedule.route.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 0, 8, 92
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\backend\routes\user.route.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\assets\global.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\cypress.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\cypress\e2e\find.cy.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\cypress\e2e\login.cy.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\cypress\e2e\orders.cy.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 4, 58
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\cypress\e2e\register.cy.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\cypress\fixtures\example.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\cypress\support\commands.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 25
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\cypress\support\e2e.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 17, 2, 20
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\package-lock.json", "JSON", 6942, 0, 0, 0, 0, 0, 0, 0, 1, 6943
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\App.vue", "vue", 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\components\AutoCompleteInput.vue", "vue", 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\components\CalendarInput.vue", "vue", 0, 0, 100, 0, 0, 0, 0, 0, 4, 104
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\components\CompaniesCheckboxes.vue", "vue", 0, 0, 41, 0, 0, 0, 0, 0, 3, 44
